profile_id,lat,lon,date,day_of_year,sst,t_0,t_5,t_10,t_20,t_30,t_50,t_75,t_100,t_125,t_150,t_200,t_300,t_500,t_700,t_1000
7902287_006,9.1333,68.5833,2025-04-29,119,30.61,,30.667,30.636,30.139,29.706,28.807,27.21,26.108,24.021,20.932,16.176,13.143,11.044,9.777,7.703
2903956_006,22.7678,60.6719,2025-04-28,118,28.67,,28.582,28.572,27.298,26.669,24.504,23.887,23.602,22.715,21.399,19.556,17.577,13.501,11.713,
4903839_013,24.3532,58.717,2025-04-28,118,29.75,,28.913,28.406,27.956,25.752,24.093,23.738,23.675,23.614,23.108,20.952,19.627,13.824,11.687,9.242
2903145_053,8.7792,54.0738,2025-04-28,118,30.24,,30.464,30.392,29.453,27.551,25.699,23.201,20.885,17.93,15.596,14.512,11.647,10.783,9.822,8.24
1902734_003,19.6976,61.1233,2025-04-28,118,29.61,,29.547,29.541,29.271,28.006,24.669,24.174,23.699,22.279,20.662,18.97,15.607,13.137,11.34,9.04
2903955_012,23.8256,58.9297,2025-04-28,118,30.08,,29.392,28.37,27.525,25.531,23.937,23.65,23.63,23.433,22.68,21.234,17.81,13.467,11.43,8.806
2903142_089,12.8504,63.3818,2025-04-28,118,30.16,,30.072,29.927,29.786,28.842,27.648,24.824,23.292,19.361,17.463,16.656,13.644,11.969,10.761,8.782
2903831_015,16.6133,89.4579,2025-04-28,118,30.24,,30.469,29.998,29.761,29.641,30.171,28.871,27.393,23.631,21.181,16.377,12.264,10.331,8.759,6.739
7902251_012,11.4167,87.0167,2025-04-28,118,30.55,,30.65,30.604,30.13,29.641,29.012,28.44,26.007,21.416,18.657,15.349,12.083,10.015,8.705,6.828
7902249_012,10.3333,83.8333,2025-04-28,118,30.57,,30.58,30.579,30.211,29.485,27.114,23.03,20.65,18.901,16.725,14.008,11.641,9.923,8.449,6.341
1902673_056,11.3667,69.0,2025-04-28,118,30.19,,30.711,30.56,30.338,30.051,29.184,26.58,24.711,21.172,19.465,16.285,13.591,11.76,10.501,8.285
2903149_053,12.1886,63.5208,2025-04-28,118,30.11,,30.354,30.255,29.93,29.803,28.202,25.799,23.388,20.015,18.489,15.581,13.244,11.909,10.763,8.551
1902751_009,19.9502,59.9153,2025-04-28,118,29.56,,29.627,29.424,28.934,27.963,24.762,24.164,23.895,21.502,20.56,18.926,16.08,13.164,11.521,9.148
2902775_232,8.384,89.267,2025-04-28,118,30.39,,30.483,30.207,29.754,29.315,28.554,25.349,20.52,17.979,15.626,13.418,11.422,9.856,8.463,6.562
6990716_006,10.35,67.95,2025-04-28,118,30.21,,30.403,30.393,30.006,29.506,28.273,27.469,26.206,24.528,21.267,17.037,13.47,11.592,10.422,8.243
5907141_013,25.0576,60.2175,2025-04-28,118,28.78,,28.336,27.765,26.718,24.591,24.002,23.744,23.568,23.346,22.527,21.0,16.479,13.073,11.389,
2903956_019,23.1809,59.4241,2025-05-11,131,30.3,,30.227,30.082,26.703,25.03,24.023,23.652,23.617,23.408,22.767,21.105,18.429,13.307,11.378,8.835
